sp,years,nc_pars,nc_obs,npars,nobs,Tmean,Tsd,Tdiff,n_sites_wide_ci,large_ci,flag_convergence,flag_gof_Tmean,flag_gof_Tsd,flag_gof_Tdiff,flag_wide_ci,any_flag
96,93_24,14,313,15,9440,0.685,0.77,0,1,17355713613716018e28,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
90,93_24,13,160,15,3392,0.683,0.726,0,1,162930474952738700,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
86,93_24,12,342,15,2592,0.632,0.688,0,1,3413181923242526e18,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
97,93_24,11,149,15,5280,0.646,0.686,0,1,1857858911211412e13,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
208,93_24,10,63,15,2624,0.657,0.673,0,1,1860,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
48,93_24,8,48,15,1280,0.546,0.578,0,1,115,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
212,93_24,8,129,15,7968,0.722,0.813,0,1,3121517182223332e116,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
42,93_24,7,42,15,1088,0.596,0.608,0,1,4523262932,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
100,93_24,7,30,15,2272,0.573,0.62,0,1,3473345485758,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
233,93_24,7,51,15,160,0.706,0.683,0,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
61,93_24,6,15,15,3968,0.662,0.722,0,1,7102439476566836e8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
245,93_24,6,111,15,10848,0.714,0.841,0,1,75144233,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
288,93_24,6,13,15,2720,0.633,0.663,0,1,17314750515265,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
298,93_24,6,21,15,1824,0.607,0.622,0,1,14,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
149,93_24,5,49,15,3968,0.744,0.827,0,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
251,93_24,5,22,15,1216,0.674,0.72,0,1,37,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
258,93_24,5,18,15,832,0.629,0.634,0,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
287,93_24,5,52,15,3776,0.673,0.743,0,1,64100,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
6,93_24,4,10,15,6496,0.685,0.741,0,1,6316465709495101e18,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
87,93_24,4,15,15,704,0.511,0.552,0,1,145611,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
232,93_24,4,8,15,384,0.579,0.602,0,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
237,93_24,4,14,15,3328,0.622,0.696,0,1,20394349,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
263,93_24,4,28,15,2144,0.676,0.714,0,1,46,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
50,93_24,3,39,15,8096,0.669,0.745,0,1,42132771231581806e5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
89,93_24,3,76,15,10240,0.687,0.769,0,1,27304252809310517e43,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
102,93_24,3,6,15,2112,0.565,0.568,0,1,2935,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
238,93_24,3,6,15,5856,0.642,0.666,0,1,29117164,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
270,93_24,3,103,15,5280,0.686,0.757,0,1,3738566769728496e3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
290,93_24,3,9,15,2176,0.651,0.658,0,1,12,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
