beta,deviance,lambda,log.lik,phi,pj,psi_s,psi_w,sig.alpha,sig.e,sig.eps,sig.zeta,stt_s,stt_w,tau.jump,nc_pars,nc_obs,npars,nobs,sp,years,Tmean,Tsd,Tdiff,large_ci
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,15,1632,4,93_24,0.649,0.652,0,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,832,5,93_24,0.563,0.603,0,4
1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,4,10,15,6496,6,93_24,0.685,0.741,0,6316465709495101e18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,384,41,93_24,0.617,0.601,0,NA
3,0,1,22,0,0,3,3,1,0,0,0,2,0,0,7,42,15,1088,42,93_24,0.596,0.608,0,4523262932
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,15,6560,47,93_24,0.646,0.72,0,4598385174
2,0,1,29,0,0,1,1,1,0,0,0,4,1,0,8,48,15,1280,48,93_24,0.546,0.578,0,115
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,49,93_24,0.896,0.934,0,NA
0,0,0,0,1,0,18,17,0,0,0,0,0,0,0,3,39,15,8096,50,93_24,0.669,0.745,0,42132771231581806e5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,288,51,93_24,0.719,0.84,0,NA
0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,2,34,15,4704,52,93_24,0.666,0.726,0,5782119123127128
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7616,54,93_24,0.692,0.75,0,112182
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4448,55,93_24,0.66,0.635,0,342
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2464,56,93_24,0.707,0.753,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2368,57,93_24,0.706,0.66,0,67
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1312,58,93_24,0.668,0.669,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4896,59,93_24,0.671,0.714,0,115136
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,800,60,93_24,0.632,0.567,0,NA
2,0,1,1,0,0,1,2,0,0,0,0,2,0,0,6,15,15,3968,61,93_24,0.662,0.722,0,7102439476566836e8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1376,62,93_24,0.689,0.666,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,576,63,93_24,0.649,0.695,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,96,64,93_24,0.666,0.526,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,384,67,93_24,0.766,0.657,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,864,69,93_24,0.561,0.509,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1056,72,93_24,0.704,0.691,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,96,73,93_24,0.417,0.527,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,160,74,93_24,0.483,0.381,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,128,75,93_24,0.609,0.633,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,320,76,93_24,0.54,0.534,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,416,77,93_24,0.641,0.635,0,4
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,15,5792,81,93_24,0.625,0.676,0,2133355166738915e4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2016,83,93_24,0.603,0.597,0,224462
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6048,84,93_24,0.645,0.711,0,162
0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,2,10,15,3680,85,93_24,0.65,0.657,0,3545101109
49,0,35,87,1,1,51,54,2,1,0,3,40,6,0,12,342,15,2592,86,93_24,0.632,0.688,0,3413181923242526e18
4,0,0,2,0,0,3,2,0,0,0,0,0,0,0,4,15,15,704,87,93_24,0.511,0.552,0,145611
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,5,15,5216,88,93_24,0.612,0.641,0,758895111155
1,0,0,0,0,0,34,38,0,0,0,0,0,0,0,3,76,15,10240,89,93_24,0.687,0.769,0,27304252809310517e43
20,1,6,31,0,1,29,29,1,0,1,1,17,9,1,13,160,15,3392,90,93_24,0.683,0.726,0,162930474952738700
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,96,91,93_24,0.491,0.532,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,160,92,93_24,0.513,0.467,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5344,94,93_24,0.663,0.727,0,6556364687390908e8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,832,95,93_24,0.634,0.624,0,NA
46,1,6,65,3,2,79,56,2,1,0,2,25,10,1,14,313,15,9440,96,93_24,0.685,0.77,0,17355713613716018e28
9,0,5,32,0,1,58,22,1,0,0,1,7,1,1,11,149,15,5280,97,93_24,0.646,0.686,0,1857858911211412e13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3424,98,93_24,0.667,0.715,0,1181
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1248,99,93_24,0.623,0.659,0,132
5,0,0,0,1,0,7,7,0,1,0,0,1,0,1,7,30,15,2272,100,93_24,0.573,0.62,0,3473345485758
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,192,101,93_24,0.591,0.527,0,NA
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,6,15,2112,102,93_24,0.565,0.568,0,2935
0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,32,15,1088,103,93_24,0.576,0.59,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,608,104,93_24,0.529,0.528,0,2
1,0,0,0,1,0,9,32,0,0,1,0,0,0,0,5,49,15,3968,149,93_24,0.744,0.827,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1248,167,93_24,0.759,0.688,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,480,172,93_24,0.778,0.787,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,256,197,93_24,0.671,0.698,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1760,203,93_24,0.662,0.675,0,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,205,93_24,0.429,0.632,0,NA
5,0,2,3,1,1,18,18,0,0,0,0,3,1,1,10,63,15,2624,208,93_24,0.657,0.673,0,1860
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4928,210,93_24,0.668,0.73,0,88128
31,0,0,6,3,0,28,45,1,0,0,2,5,0,0,8,129,15,7968,212,93_24,0.722,0.813,0,3121517182223332e116
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,213,93_24,0.837,0.743,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,256,214,93_24,0.563,0.663,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,215,93_24,0.558,0.57,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,64,216,93_24,0.462,0.386,0,NA
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,15,1888,228,93_24,0.672,0.765,0,18
