Species,2016/11/01,2016/12/01,2017/01/01,2017/02/01,2017/03/01,2017/04/01,2017/05/01,2017/06/01,2017/07/01,2017/08/01,2017/09/01,2017/10/01,2017/11/01,2017/12/01,2018/01/01,2018/02/01,2018/03/01,2018/04/01,2018/05/01,2018/06/01,2018/07/01,2018/08/01,2018/09/01,2018/10/01,2018/11/01,2019/01/01,2019/02/01,2019/03/01,2019/04/01,2019/05/01,2019/07/01,2019/08/01,2019/10/01,Total,Mean,± S.D.,Min.,Max.,Freq. of occur..,Mean as % of overall mean,COV
Red-knobbed Coot,54,58,6,3,18,30,36,39,26,16,8,17,4,14,0,2,6,3,17,31,38,26,49,16,16,215,2,8,22,25,32,19,1,857,26.0,37.4,0,215,97%,20.65%,1.440
Western Cattle Egret,5,18,30,0,1,2,0,0,0,0,0,7,200,300,45,3,0,0,28,20,0,0,0,25,17,25,0,0,0,20,0,0,62,808,24.5,61.4,0,300,52%,19.47%,2.506
Little Grebe,1,2,0,0,0,4,16,73,91,20,0,3,2,1,0,0,2,14,57,38,26,7,17,9,9,33,0,4,14,11,31,3,4,492,14.9,22.0,0,91,79%,11.86%,1.473
Yellow-billed Duck,0,0,0,0,0,4,3,0,9,8,6,3,22,1,0,4,9,4,5,6,34,23,15,35,63,17,0,32,0,7,3,13,0,326,9.9,14.0,0,63,70%,7.86%,1.420
Southern Pochard,0,0,0,0,0,0,0,0,4,1,3,0,0,0,8,0,0,4,0,0,26,12,6,78,45,10,0,4,28,4,0,0,0,233,7.1,16.1,0,78,42%,5.61%,2.287
White-breasted Cormorant,32,25,38,29,29,0,2,0,1,1,1,0,0,1,4,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,1,0,3,173,5.2,11.1,0,38,52%,4.17%,2.109
White-faced Whistling Duck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,7,0,6,49,0,0,0,0,124,3.8,13.5,0,62,12%,2.99%,3.603
Common Moorhen,3,2,3,3,1,3,5,4,3,1,1,1,1,3,2,7,15,4,5,4,6,4,3,1,1,5,2,8,2,1,4,1,2,111,3.4,2.8,1,15,100%,2.67%,0.827
Blacksmith Lapwing,2,2,2,2,0,2,0,2,0,0,0,2,2,0,4,30,0,2,0,0,0,0,2,2,11,6,9,4,2,0,0,2,0,90,2.7,5.5,0,30,58%,2.17%,2.026
Cape Shoveler,2,0,0,0,0,0,0,0,4,4,0,2,4,0,0,0,3,0,0,2,30,10,10,0,4,4,0,3,0,4,1,0,0,87,2.6,5.6,0,30,45%,2.10%,2.118
Egyptian Goose,0,0,2,0,4,5,1,0,3,0,7,3,2,2,2,2,3,8,10,0,2,1,4,2,4,3,0,0,0,2,4,2,2,80,2.4,2.4,0,10,73%,1.93%,0.995
