"year","Season","StartDate","count","spp","Country","LocationCode","CountCondition","X","Y","Year","good_site"
1993,"S",1993-01-09,4,"Great Crested Grebe","South Africa","34061828",NA,18.46936,-34.09274,1993,1
1993,"W",1993-07-18,5,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,1993,1
1994,"S",1994-02-12,2,"Great Crested Grebe","South Africa","34061828",2,18.46936,-34.09274,1994,1
1994,"W",1994-07-16,4,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,1994,1
1995,"S",1995-01-14,2,"Great Crested Grebe","South Africa","34061828",2,18.46936,-34.09274,1995,1
1995,"W",1995-07-15,5,"Great Crested Grebe","South Africa","34061828",5,18.46936,-34.09274,1995,1
1996,"S",1996-01-27,3,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,1996,1
1996,"W",1996-07-20,2,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,1996,1
1997,"S",1997-01-25,5,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,1997,1
1997,"W",1997-07-12,12,"Great Crested Grebe","South Africa","34061828",5,18.46936,-34.09274,1997,1
1998,"S",1998-02-14,15,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,1998,1
1998,"W",1998-08-01,18,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,1998,1
1999,"S",1999-02-13,8,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,1999,1
1999,"W",1999-07-10,6,"Great Crested Grebe","South Africa","34061828",5,18.46936,-34.09274,1999,1
2000,"S",2000-02-12,6,"Great Crested Grebe","South Africa","34061828",2,18.46936,-34.09274,2000,1
2000,"W",2000-07-08,11,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,2000,1
2001,"O",2001-10-25,3,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2001,1
2001,"S",2001-01-20,3,"Great Crested Grebe","South Africa","34061828",5,18.46936,-34.09274,2001,1
2001,"W",2001-07-28,4,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,2001,1
2002,"O",2002-04-24,10,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,2002,1
2002,"O",2002-09-19,8,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2002,1
2002,"S",2002-01-19,2,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2002,1
2002,"W",2002-07-13,2,"Great Crested Grebe","South Africa","34061828",2,18.46936,-34.09274,2002,1
2003,"O",2003-10-15,18,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2003,1
2003,"S",2003-01-11,22,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2003,1
2003,"S",2003-04-17,0,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,2003,1
2003,"W",2003-07-12,12,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,2003,1
2004,"O",2004-10-13,10,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2004,1
2004,"S",2004-01-31,13,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,2004,1
2004,"W",2004-07-10,7,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,2004,1
2005,"O",2005-04-13,6,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2005,1
2005,"O",2005-10-12,0,"Great Crested Grebe","South Africa","34061828",2,18.46936,-34.09274,2005,1
2005,"S",2005-01-15,9,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2005,1
2005,"W",2005-07-09,12,"Great Crested Grebe","South Africa","34061828",5,18.46936,-34.09274,2005,1
2006,"O",2006-04-12,14,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,2006,1
2006,"O",2006-10-11,0,"Great Crested Grebe","South Africa","34061828",2,18.46936,-34.09274,2006,1
2006,"S",2006-01-14,9,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2006,1
2006,"W",2006-07-15,5,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2006,1
2007,"O",2007-04-25,23,"Great Crested Grebe","South Africa","34061828",5,18.46936,-34.09274,2007,1
2007,"O",2007-10-17,2,"Great Crested Grebe","South Africa","34061828",1,18.46936,-34.09274,2007,1
2007,"S",2007-01-20,3,"Great Crested Grebe","South Africa","34061828",2,18.46936,-34.09274,2007,1
2007,"W",2007-07-21,4,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,2007,1
2008,"O",2008-04-23,3,"Great Crested Grebe","South Africa","34061828",5,18.46936,-34.09274,2008,1
2008,"O",2008-10-22,5,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2008,1
2008,"S",2008-01-19,0,"Great Crested Grebe","South Africa","34061828",1,18.46936,-34.09274,2008,1
2008,"W",2008-07-19,8,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2008,1
2009,"O",2009-04-15,10,"Great Crested Grebe","South Africa","34061828",5,18.46936,-34.09274,2009,1
2009,"O",2009-10-14,3,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,2009,1
2009,"S",2009-01-17,20,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2009,1
2009,"W",2009-07-18,4,"Great Crested Grebe","South Africa","34061828",2,18.46936,-34.09274,2009,1
2010,"O",2010-04-14,7,"Great Crested Grebe","South Africa","34061828",5,18.46936,-34.09274,2010,1
2010,"S",2010-01-01,NA,"Great Crested Grebe",NA,"34061828",NA,18.46936,-34.09274,2010,1
2010,"W",2010-07-31,14,"Great Crested Grebe","South Africa","34061828",3,18.46936,-34.09274,2010,1
2011,"O",2011-04-23,6,"Great Crested Grebe","South Africa","34061828",5,18.46936,-34.09274,2011,1
2011,"O",2011-10-22,27,"Great Crested Grebe","South Africa","34061828",2,18.46936,-34.09274,2011,1
2011,"S",2011-01-15,10,"Great Crested Grebe","South Africa","34061828",4,18.46936,-34.09274,2011,1
