"CardNo","StartDate","Pentad","year","obs"
"3355_2445_000355_20220101",2022-01-01,"3355_2445",2022,0
"2330_2915_011455_20220101",2022-01-01,"2330_2915",2022,0
"2630_2800_010579_20220101",2022-01-01,"2630_2800",2022,0
"2625_2725_019120_20220101",2022-01-01,"2625_2725",2022,0
"3400_2300_013042_20220101",2022-01-01,"3400_2300",2022,0
"2550_2815_014532_20220101",2022-01-01,"2550_2815",2022,0
"2720_3150_001113_20220101",2022-01-01,"2720_3150",2022,0
"3325_2545_000916_20220101",2022-01-01,"3325_2545",2022,0
"2550_2815_000465_20220101",2022-01-01,"2550_2815",2022,0
"3320_1850_021482_20220101",2022-01-01,"3320_1850",2022,0
"2805_2705_020269_20220101",2022-01-01,"2805_2705",2022,0
"3255_2220_011005_20220101",2022-01-01,"3255_2220",2022,0
"3210_2655_000157_20220101",2022-01-01,"3210_2655",2022,0
"2515_3055_021622_20220101",2022-01-01,"2515_3055",2022,0
"2910_2725_000527_20220101",2022-01-01,"2910_2725",2022,0
"2550_2815_012752_20220101",2022-01-01,"2550_2815",2022,0
"3400_2050_014447_20220102",2022-01-02,"3400_2050",2022,0
"2920_2550_000102_20220102",2022-01-02,"2920_2550",2022,0
"3425_1910_014447_20220101",2022-01-01,"3425_1910",2022,0
"2925_2545_000102_20220102",2022-01-02,"2925_2545",2022,0
"3245_2805_000142_20220102",2022-01-02,"3245_2805",2022,0
"3120_2525_014497_20220102",2022-01-02,"3120_2525",2022,0
"2525_3125_015816_20220101",2022-01-01,"2525_3125",2022,0
"2505_2800_010051_20220102",2022-01-02,"2505_2800",2022,0
"2520_3130_015816_20220101",2022-01-01,"2520_3130",2022,0
"2920_2940_010320_20220102",2022-01-02,"2920_2940",2022,0
"2525_3125_015976_20220101",2022-01-01,"2525_3125",2022,0
"3255_1805_020622_20220102",2022-01-02,"3255_1805",2022,0
"2815_3220_010490_20220101",2022-01-01,"2815_3220",2022,0
"2820_3220_010490_20220101",2022-01-01,"2820_3220",2022,0
"2545_2925_020905_20220101",2022-01-01,"2545_2925",2022,0
"2520_2815_010281_20220101",2022-01-01,"2520_2815",2022,0
"2630_2640_000272_20220102",2022-01-02,"2630_2640",2022,0
"2600_2710_016333_20220102",2022-01-02,"2600_2710",2022,0
"2520_2820_010281_20220101",2022-01-01,"2520_2820",2022,0
"3355_2455_011060_20220101",2022-01-01,"3355_2455",2022,0
"2810_3220_010490_20220101",2022-01-01,"2810_3220",2022,0
"2535_2720_010281_20220102",2022-01-02,"2535_2720",2022,0
"2855_3145_010490_20220102",2022-01-02,"2855_3145",2022,0
"3400_2320_010210_20220102",2022-01-02,"3400_2320",2022,0
"2650_2745_000527_20220102",2022-01-02,"2650_2745",2022,0
"3035_2945_019377_20220101",2022-01-01,"3035_2945",2022,0
"3015_2515_010823_20220101",2022-01-01,"3015_2515",2022,0
"2930_2930_017228_20220101",2022-01-01,"2930_2930",2022,0
"3250_2750_021180_20220101",2022-01-01,"3250_2750",2022,0
"2920_2935_010320_20220102",2022-01-02,"2920_2935",2022,0
