"target","cond1","taxon","cond2","geo","cond3","time","indicator","process_lvl"
"species","at",NA,NA,"site","at","time","distr","proc_lvl"
"species","across",NA,NA,"site","at","time","distr","proc_lvl"
"species","at",NA,NA,"site_type","at","time","distr","proc_lvl"
"species","across",NA,NA,"site_type","at","time","distr","proc_lvl"
"species","at",NA,NA,"global","at","time","distr","proc_lvl"
"species","at",NA,NA,"site","across","time","distr","proc_lvl"
"species","at",NA,NA,"site_type","across","time","distr","proc_lvl"
"species","at",NA,NA,"global","across","time","distr","proc_lvl"
"species","at",NA,NA,"site","at","time","abund","proc_lvl"
"species","across",NA,NA,"site","at","time","abund","proc_lvl"
"species","at",NA,NA,"site_type","at","time","abund","proc_lvl"
"species","across",NA,NA,"site_type","at","time","abund","proc_lvl"
"species","at",NA,NA,"global","at","time","abund","proc_lvl"
"species","at",NA,NA,"site","across","time","abund","proc_lvl"
"species","at",NA,NA,"site_type","across","time","abund","proc_lvl"
"species","at",NA,NA,"global","across","time","abund","proc_lvl"
"sp_type","across","species","at","site","at","time","distr","proc_lvl"
"sp_type","at","sp_type","at","site","at","time","distr","proc_lvl"
"sp_type","at","sp_type","across","site","at","time","distr","proc_lvl"
"sp_type","across","species","at","site_type","at","time","distr","proc_lvl"
"sp_type","at","sp_type","at","site_type","at","time","distr","proc_lvl"
"sp_type","at","sp_type","across","site_type","at","time","distr","proc_lvl"
"sp_type","across","species","at","global","at","time","distr","proc_lvl"
"sp_type","at","sp_type","at","global","at","time","distr","proc_lvl"
"sp_type","at","sp_type","at","site","across","time","distr","proc_lvl"
"sp_type","at","sp_type","at","site_type","across","time","distr","proc_lvl"
"sp_type","at","sp_type","at","global","across","time","distr","proc_lvl"
"sp_type","across","species","at","site","at","time","abund","proc_lvl"
"sp_type","at","sp_type","at","site","at","time","abund","proc_lvl"
"sp_type","at","sp_type","across","site","at","time","abund","proc_lvl"
"sp_type","across","species","at","site_type","at","time","abund","proc_lvl"
"sp_type","at","sp_type","at","site_type","at","time","abund","proc_lvl"
"sp_type","at","sp_type","across","site_type","at","time","abund","proc_lvl"
"sp_type","across","species","at","global","at","time","abund","proc_lvl"
"sp_type","at","sp_type","at","global","at","time","abund","proc_lvl"
"sp_type","at","sp_type","at","site","across","time","abund","proc_lvl"
"sp_type","at","sp_type","at","site_type","across","time","abund","proc_lvl"
"sp_type","at","sp_type","at","global","across","time","abund","proc_lvl"
"site","at","species",NA,NA,"at","time","distr","proc_lvl"
"site","across","species",NA,NA,"at","time","distr","proc_lvl"
"site","at","sp_type",NA,NA,"at","time","distr","proc_lvl"
"site","across","sp_type",NA,NA,"at","time","distr","proc_lvl"
"site","at","species",NA,NA,"across","time","distr","proc_lvl"
"site","at","sp_type",NA,NA,"across","time","distr","proc_lvl"
"site","at","species",NA,NA,"at","time","abund","proc_lvl"
"site","across","species",NA,NA,"at","time","abund","proc_lvl"
"site","at","sp_type",NA,NA,"at","time","abund","proc_lvl"
"site","across","sp_type",NA,NA,"at","time","abund","proc_lvl"
"site","at","species",NA,NA,"across","time","abund","proc_lvl"
"site","at","sp_type",NA,NA,"across","time","abund","proc_lvl"
"site_type","across","species","at","site","at","time","distr","proc_lvl"
"site_type","at","species","at","site_type","at","time","distr","proc_lvl"
"site_type","at","species","across","site_type","at","time","distr","proc_lvl"
"site_type","across","sp_type","at","site","at","time","distr","proc_lvl"
"site_type","at","sp_type","at","site_type","at","time","distr","proc_lvl"
"site_type","at","sp_type","across","site_type","at","time","distr","proc_lvl"
"site_type","at","species","at","site_type","across","time","distr","proc_lvl"
"site_type","at","sp_type","at","site_type","across","time","distr","proc_lvl"
"site_type","across","species","at","site","at","time","abund","proc_lvl"
"site_type","at","species","at","site_type","at","time","abund","proc_lvl"
"site_type","at","species","across","site_type","at","time","abund","proc_lvl"
"site_type","across","sp_type","at","site","at","time","abund","proc_lvl"
"site_type","at","sp_type","at","site_type","at","time","abund","proc_lvl"
"site_type","at","sp_type","across","site_type","at","time","abund","proc_lvl"
"site_type","at","species","at","site_type","across","time","abund","proc_lvl"
"site_type","at","sp_type","at","site_type","across","time","abund","proc_lvl"
