"CardNo","StartDate","Pentad","year","obs"
"1940_3340_002024_20101213",2010-12-13,"3340_1940",2010,1
"1940_3342_002022_20100603",2010-06-03,"3340_1940",2010,0
"1950_3350_002024_20101011",2010-10-11,"3350_1950",2010,1
"1950_3450_002022_20100623",2010-06-23,"3400_1950",2010,0
"1955_3355_002025_20101026",2010-10-26,"3355_1955",2010,1
"1955_3355_002025_20101111",2010-11-11,"3355_1955",2010,0
"1955_3355_002025_20101215",2010-12-15,"3355_1955",2010,1
"2005_3350_002023_20100204",2010-02-04,"3350_2005",2010,0
"2020_3345_002024_20101215",2010-12-15,"3345_2020",2010,1
"2025_2850_001868_20101204",2010-12-04,"2505_2850",2010,1
"2040_2930_001588_20100318",2010-03-18,"2940_2930",2010,1
"2100_2730_000901_20100927",2010-09-27,"3100_2730",2010,0
"2205_2935_010532_20100421",2010-04-21,"2205_2935",2010,0
"2205_2935_010532_20100429",2010-04-29,"2205_2935",2010,0
"2205_2935_010532_20100504",2010-05-04,"2205_2935",2010,0
"2205_2935_010532_20100615",2010-06-15,"2205_2935",2010,0
"2205_2935_010532_20100630",2010-06-30,"2205_2935",2010,0
"2210_2905_000283_20100408",2010-04-08,"2210_2905",2010,0
"2210_2910_000270_20100318",2010-03-18,"2210_2910",2010,0
"2210_2910_000283_20100408",2010-04-08,"2210_2910",2010,1
"2210_2910_001651_20100911",2010-09-11,"2210_2910",2010,0
"2210_2910_002043_20101123",2010-11-23,"2210_2910",2010,0
"2210_2910_010210_20100430",2010-04-30,"2210_2910",2010,1
"2210_2910_010622_20100104",2010-01-04,"2210_2910",2010,0
"2210_2910_010695_20100405",2010-04-05,"2210_2910",2010,0
"2210_2910_010742_20100803",2010-08-03,"2210_2910",2010,0
"2210_2910_011707_20101217",2010-12-17,"2210_2910",2010,0
"2210_2915_001692_20100930",2010-09-30,"2210_2915",2010,1
"2210_2915_010536_20100520",2010-05-20,"2210_2915",2010,0
"2210_2915_010536_20100621",2010-06-21,"2210_2915",2010,0
"2210_2915_010536_20100704",2010-07-04,"2210_2915",2010,0
"2210_2915_010696_20100808",2010-08-08,"2210_2915",2010,0
"2210_2920_000270_20100316",2010-03-16,"2210_2920",2010,0
"2210_2920_000270_20100317",2010-03-17,"2210_2920",2010,0
"2210_2920_000270_20100319",2010-03-19,"2210_2920",2010,0
"2210_2920_000270_20100321",2010-03-21,"2210_2920",2010,0
"2210_2920_000283_20100408",2010-04-08,"2210_2920",2010,0
"2210_2920_001651_20100909",2010-09-09,"2210_2920",2010,1
"2210_2920_002043_20101122",2010-11-22,"2210_2920",2010,0
"2210_2920_010210_20100501",2010-05-01,"2210_2920",2010,1
"2210_2920_010622_20100106",2010-01-06,"2210_2920",2010,0
"2210_2920_010695_20100406",2010-04-06,"2210_2920",2010,0
"2210_2920_010696_20100807",2010-08-07,"2210_2920",2010,0
"2210_2920_010742_20100801",2010-08-01,"2210_2920",2010,1
"2210_2920_011372_20101213",2010-12-13,"2210_2920",2010,0
"2210_2920_011497_20100320",2010-03-20,"2210_2920",2010,0
"2210_2920_011707_20101217",2010-12-17,"2210_2920",2010,0
"2210_2925_002043_20101123",2010-11-23,"2210_2925",2010,0
"2210_2925_010210_20100502",2010-05-02,"2210_2925",2010,0
"2210_2925_011372_20101214",2010-12-14,"2210_2925",2010,0
"2210_2930_010532_20100703",2010-07-03,"2210_2930",2010,0
"2210_2935_010532_20100526",2010-05-26,"2210_2935",2010,0
"2210_2935_010532_20100615",2010-06-15,"2210_2935",2010,0
"2210_2935_010532_20100714",2010-07-14,"2210_2935",2010,0
"2210_2935_010532_20100804",2010-08-04,"2210_2935",2010,0
"2210_2940_010532_20100330",2010-03-30,"2210_2940",2010,0
"2210_2940_010532_20100413",2010-04-13,"2210_2940",2010,0
"2210_2940_010532_20100420",2010-04-20,"2210_2940",2010,0
"2210_2940_010532_20100428",2010-04-28,"2210_2940",2010,0
"2210_2940_010532_20100504",2010-05-04,"2210_2940",2010,0
"2210_2940_010532_20100525",2010-05-25,"2210_2940",2010,0
"2210_2940_010532_20100608",2010-06-08,"2210_2940",2010,0
